day,year,mo,da,collision_date,county,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,NUM_COLLISIONS
4,2019,01,24,2019-01-24,Bronx County,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,1,0,0,0,84
4,2019,01,24,2019-01-24,Richmond County,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,1,0,0,0,28
4,2019,01,24,2019-01-24,Queens County,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,1,0,0,0,157
4,2019,01,24,2019-01-24,New York County,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,1,0,0,0,122
4,2019,01,24,2019-01-24,Kings County,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,1,0,0,0,158
5,2019,01,25,2019-01-25,Kings County,37,28.5,1010.5,8.9,14.0,26.0,35,52,30,0.28,999.9,0,0,0,0,0,174
5,2019,01,25,2019-01-25,Richmond County,37,28.5,1010.5,8.9,14.0,26.0,35,52,30,0.28,999.9,0,0,0,0,0,36
5,2019,01,25,2019-01-25,New York County,37,28.5,1010.5,8.9,14.0,26.0,35,52,30,0.28,999.9,0,0,0,0,0,125
5,2019,01,25,2019-01-25,Queens County,37,28.5,1010.5,8.9,14.0,26.0,35,52,30,0.28,999.9,0,0,0,0,0,186
5,2019,01,25,2019-01-25,Bronx County,37,28.5,1010.5,8.9,14.0,26.0,35,52,30,0.28,999.9,0,0,0,0,0,106
6,2019,01,26,2019-01-26,Queens County,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,0,0,0,0,148
6,2019,01,26,2019-01-26,Kings County,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,0,0,0,0,143
6,2019,01,26,2019-01-26,Bronx County,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,0,0,0,0,80
6,2019,01,26,2019-01-26,Richmond County,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,0,0,0,0,17
6,2019,01,26,2019-01-26,New York County,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,0,0,0,0,104
7,2019,01,27,2019-01-27,Bronx County,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,0,1,0,0,58
7,2019,01,27,2019-01-27,New York County,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,0,1,0,0,88
7,2019,01,27,2019-01-27,Richmond County,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,0,1,0,0,12
7,2019,01,27,2019-01-27,Queens County,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,0,1,0,0,122
7,2019,01,27,2019-01-27,Kings County,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,0,1,0,0,126
1,2019,01,28,2019-01-28,Richmond County,35.7,27.3,1016,9.8,11.3,19.0,26,44.1,28.9,0,999.9,0,0,0,0,0,29
1,2019,01,28,2019-01-28,Bronx County,35.7,27.3,1016,9.8,11.3,19.0,26,44.1,28.9,0,999.9,0,0,0,0,0,71
1,2019,01,28,2019-01-28,New York County,35.7,27.3,1016,9.8,11.3,19.0,26,44.1,28.9,0,999.9,0,0,0,0,0,90
1,2019,01,28,2019-01-28,Kings County,35.7,27.3,1016,9.8,11.3,19.0,26,44.1,28.9,0,999.9,0,0,0,0,0,177
