"","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"1",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2013,35.4,34.9,1019,2.6,4.9,999.9,37.4,33.1,0.08,0,1,0.365234375
"2",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2013,45.4,44.9,1020.7,4.3,5.8,999.9,46.9,44.1,0.01,0,1,0.03515625
"3",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2013,39.9,37.6,1026.2,6.8,5.3,999.9,46,28,0,0,1,0.2578125
"4",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,2013,38,31.4,1030.6,10,5.4,999.9,44.1,32,0,0,0,0.595703125
"5",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,2013,42.7,41.5,1022.6,7.1,7.9,20,46.4,39.2,0.17,0,0,0.234375
"6",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6,2013,39.4,34.6,1014.2,8.6,8.6,20,41,37,0.47,0,1,0.265625
"7",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,2013,27.3,10.8,1028.9,8.8,7.4,20,32,21.9,0,0,0,0.296875
"9",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,9,2013,35.7,31.3,1019.7,9.8,5.9,20,44.1,23,0.01,0,0,0.07421875
"10",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,10,2013,27.5,12.1,1013.4,10,12.4,25.1,33.1,21.9,0,0,0,0.244140625
"11",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,11,2013,24.4,16.6,1016.4,8.6,10.5,19,28,21.9,0,0,0,0.396484375
"12",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,12,2013,47.2,47.1,1017.5,1.3,8.2,21,51.8,44.6,0,0,1,0.365234375
"13",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13,13,2013,39.8,34.1,1028.8,9.8,10.4,25.1,48,25,0,0,0,0.30859375
"14",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,14,2013,35.9,31,1020.5,8.8,8.5,22,42.1,28,0.01,0,0,0.32421875
"15",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,15,2013,21.8,7.8,1018.1,10,9.8,24.1,28.9,16,0,0,0,0.37890625
"16",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,16,16,2013,45.1,44,1013.9,4.4,12.4,25.1,48.2,37,0.03,0,1,0.27734375
"17",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,17,2013,31.2,16,1015.5,9.2,10.1,26,45,27,0,0,0,0
"18",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,2013,37.3,24.5,1017.3,10,13.2,28,42.1,30.9,0,0,0,0.06640625
"19",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,19,19,2013,26.3,18.1,1011.1,6.5,10.8,26,32,19.9,0.14,0,1,0.369140625
"20",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,20,2013,46.3,41.2,1010,7,14.9,26,50,43,0,0,0,0.07421875
"21",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,21,21,2013,16.2,-1.1,1018.6,10,15.6,28.9,21.9,12.9,0.01,0,0,0.37109375
"22",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,22,2013,43.5,30.4,1024,9.9,14.7,32.1,48,36,0,0,0,0.390625
"23",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,23,23,2013,38,25.6,1008.8,10,15,28,41,33.1,0,0,0,0.05078125
"24",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,2013,19,3.3,1023.1,10,13.6,32.1,26.1,14,0,0,0,0.623046875
"25",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,25,25,2013,41.6,40,1018.3,7,8.8,27,45,39.2,0.35,0,0,0.435546875
"26",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,26,2013,32.2,21.1,1015.2,10,11.3,29.9,41,24.1,0,0,0,0.29296875
"27",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,27,2013,14.3,-1.9,1018.7,10,15.5,29.9,19.9,10,0,0,0,0.388671875
"28",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,28,2013,21.7,4.7,1025.6,10,16.3,35,28.9,17.1,0,0,0,0.14453125
"29",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,29,2013,28.1,16.6,1023.2,7.5,15,32.1,39.9,15.1,0.01,0,1,0.40234375
"30",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,30,2013,35.9,26.6,1026.4,9.2,15.3,32.1,46.9,16,0,0,0,0.251953125
"31",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,31,2013,46.5,40.3,995.5,5.9,23.1,39,54,39,0.02,0,1,0.462890625
"32",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,32,32,2013,35,26.7,1025.2,10,5,15.9,45,27,0.02,0,0,0.35546875
