"","Bronx County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"5",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,2013,38,25.6,1008.8,10,15,28,41,33.1,0,0,0,0.12719298245614
"7",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,7,2013,27.5,12.1,1013.4,10,12.4,25.1,33.1,21.9,0,0,0,0.232456140350877
"15",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,15,2013,21.8,7.8,1018.1,10,9.8,24.1,28.9,16,0,0,0,0.258771929824561
"16",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,16,2013,32.2,21.1,1015.2,10,11.3,29.9,41,24.1,0,0,0,0.241228070175439
"21",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,21,2013,37.3,24.5,1017.3,10,13.2,28,42.1,30.9,0,0,0,0.171052631578947
"30",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,30,2013,35.7,31.3,1019.7,9.8,5.9,20,44.1,23,0.01,0,0,0.153508771929825
"32",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,32,2013,35.9,31,1020.5,8.8,8.5,22,42.1,28,0.01,0,0,0.223684210526316
"36",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,36,36,2013,39.8,34.1,1028.8,9.8,10.4,25.1,48,25,0,0,0,0.219298245614035
"41",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,41,41,2013,39.9,37.6,1026.2,6.8,5.3,999.9,46,28,0,0,1,0.201754385964912
"49",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,49,2013,43.5,30.4,1024,9.9,14.7,32.1,48,36,0,0,0,0.219298245614035
"53",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53,53,2013,38,31.4,1030.6,10,5.4,999.9,44.1,32,0,0,0,0.245614035087719
"57",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,57,2013,42.7,41.5,1022.6,7.1,7.9,20,46.4,39.2,0.17,0,0,0.18859649122807
"64",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,64,2013,45.4,44.9,1020.7,4.3,5.8,999.9,46.9,44.1,0.01,0,1,0.118421052631579
"70",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70,70,2013,47.2,47.1,1017.5,1.3,8.2,21,51.8,44.6,0,0,1,0.25
"74",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,74,74,2013,42.3,38.3,1023.1,9.5,8,999.9,48.9,39,0.24,0,0,0.206140350877193
"80",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,80,80,2013,41.6,40,1018.3,7,8.8,27,45,39.2,0.35,0,0,0.206140350877193
"83",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,83,83,2013,39.4,34.6,1014.2,8.6,8.6,20,41,37,0.47,0,1,0.18859649122807
"90",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,2013,28.1,16.6,1023.2,7.5,15,32.1,39.9,15.1,0.01,0,1,0.197368421052632
"94",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94,94,2013,35.9,26.6,1026.4,9.2,15.3,32.1,46.9,16,0,0,0,0.175438596491228
"99",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,99,2013,46.3,41.2,1010,7,14.9,26,50,43,0,0,0,0.12280701754386
"105",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,105,105,2013,31.2,16,1015.5,9.2,10.1,26,45,27,0,0,0,0.0833333333333333
"107",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,107,107,2013,26.3,18.1,1011.1,6.5,10.8,26,32,19.9,0.14,0,1,0.201754385964912
"115",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,115,115,2013,16.2,-1.1,1018.6,10,15.6,28.9,21.9,12.9,0.01,0,0,0.179824561403509
"119",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,119,119,2013,14.3,-1.9,1018.7,10,15.5,29.9,19.9,10,0,0,0,0.206140350877193
"124",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124,124,2013,19,3.3,1023.1,10,13.6,32.1,26.1,14,0,0,0,0.31140350877193
"126",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,126,126,2013,24.4,16.6,1016.4,8.6,10.5,19,28,21.9,0,0,0,0.241228070175439
"133",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,133,133,2013,21.7,4.7,1025.6,10,16.3,35,28.9,17.1,0,0,0,0.171052631578947
"138",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,138,138,2013,27.3,10.8,1028.9,8.8,7.4,20,32,21.9,0,0,0,0.18859649122807
"141",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,141,141,2013,35.4,34.9,1019,2.6,4.9,999.9,37.4,33.1,0.08,0,1,0.192982456140351
"147",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,147,147,2013,45.1,44,1013.9,4.4,12.4,25.1,48.2,37,0.03,0,1,0.157894736842105
"155",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,155,155,2013,46.5,40.3,995.5,5.9,23.1,39,54,39,0.02,0,1,0.192982456140351
"160",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,160,160,2013,33.1,15.5,1007,10,18.2,38.1,39.9,30,0.23,0,0,0.210526315789474
"161",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,161,161,2013,27.6,10.4,1020.9,10,12.5,26,35.1,21.9,0,0,0,0.302631578947368
"169",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,169,169,2013,30.7,24.5,1012,8.2,9.8,22.9,36,25,0.01,0,0,0.214912280701754
"173",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,173,173,2013,29,16.9,1008.3,8.8,15.5,28,30.9,26.6,0,0,0,0.276315789473684
"178",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,178,178,2013,28.7,16.6,1014.6,7.8,8.2,18.1,32,27,0,0,0,0.236842105263158
"183",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,183,183,2013,34.8,30.4,1014.9,9,6.1,17.1,39.2,32,0.02,0,0,0.219298245614035
"187",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,187,187,2013,29.4,13.4,1028.7,10,10.2,19,35.1,25,0,0,0,0.223684210526316
"193",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,193,193,2013,34.3,28.5,1026,7.3,16.3,51.1,37.9,26.1,0,0,0,0.486842105263158
"199",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,199,199,2013,29.2,25.8,997.4,1.2,35.3,63.9,37.4,23,1.64,0,1,0.184210526315789
"201",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,201,201,2013,24.7,14.7,1024.4,8.9,16.4,36.9,34,21,0.06,0,0,0.118421052631579
"208",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,208,208,2013,36.4,32,1022.1,7.6,9.8,28.9,48,24.1,0,0,0,0.175438596491228
"213",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,213,213,2013,41.4,36.6,1006.1,6.5,11.9,27,45,36,0.36,0,1,0.254385964912281
"216",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,216,216,2013,36.1,25.2,1010.6,10,7.7,999.9,41,26.1,0,0,0,0.236842105263158
"223",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,223,223,2013,36.6,29.3,1010.5,8.4,8.9,21,43,28,0.11,0,0,0.241228070175439
"229",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,229,229,2013,38.6,33.2,1017,9.8,6,999.9,46.9,28,0,0,0,0.293859649122807
"234",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,234,234,2013,39.2,35.8,1012.3,9.2,8.6,21,44.1,34,0,0,1,0.223684210526316
