"","Kings County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"4",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,2013,38,25.6,1008.8,10,15,28,41,33.1,0,0,0,0.456140350877193
"10",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,10,2013,27.5,12.1,1013.4,10,12.4,25.1,33.1,21.9,0,0,0,0.609649122807018
"12",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,12,2013,21.8,7.8,1018.1,10,9.8,24.1,28.9,16,0,0,0,0.605263157894737
"18",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,2013,32.2,21.1,1015.2,10,11.3,29.9,41,24.1,0,0,0,0.539473684210526
"23",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,23,2013,37.3,24.5,1017.3,10,13.2,28,42.1,30.9,0,0,0,0.342105263157895
"27",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,27,2013,35.7,31.3,1019.7,9.8,5.9,20,44.1,23,0.01,0,0,0.37280701754386
"34",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,34,2013,35.9,31,1020.5,8.8,8.5,22,42.1,28,0.01,0,0,0.605263157894737
"40",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,40,40,2013,39.8,34.1,1028.8,9.8,10.4,25.1,48,25,0,0,0,0.596491228070175
"45",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,45,45,2013,39.9,37.6,1026.2,6.8,5.3,999.9,46,28,0,0,1,0.429824561403509
"46",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,46,2013,43.5,30.4,1024,9.9,14.7,32.1,48,36,0,0,0,0.605263157894737
"54",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,54,2013,38,31.4,1030.6,10,5.4,999.9,44.1,32,0,0,0,0.776315789473684
"60",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,60,2013,42.7,41.5,1022.6,7.1,7.9,20,46.4,39.2,0.17,0,0,0.513157894736842
"62",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62,62,2013,45.4,44.9,1020.7,4.3,5.8,999.9,46.9,44.1,0.01,0,1,0.37719298245614
"68",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,68,2013,47.2,47.1,1017.5,1.3,8.2,21,51.8,44.6,0,0,1,0.605263157894737
"75",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,75,75,2013,42.3,38.3,1023.1,9.5,8,999.9,48.9,39,0.24,0,0,0.517543859649123
"79",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,79,79,2013,41.6,40,1018.3,7,8.8,27,45,39.2,0.35,0,0,0.596491228070175
