"","New York County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"1",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2013,38,25.6,1008.8,10,15,28,41,33.1,0,0,0,0.31140350877193
"9",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,9,2013,27.5,12.1,1013.4,10,12.4,25.1,33.1,21.9,0,0,0,0.267543859649123
"11",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,11,2013,21.8,7.8,1018.1,10,9.8,24.1,28.9,16,0,0,0,0.464912280701754
"20",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,20,2013,32.2,21.1,1015.2,10,11.3,29.9,41,24.1,0,0,0,0.447368421052632
"24",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,2013,37.3,24.5,1017.3,10,13.2,28,42.1,30.9,0,0,0,0.298245614035088
"28",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,28,2013,35.7,31.3,1019.7,9.8,5.9,20,44.1,23,0.01,0,0,0.315789473684211
"33",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,33,2013,35.9,31,1020.5,8.8,8.5,22,42.1,28,0.01,0,0,0.359649122807018
"39",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,39,39,2013,39.8,34.1,1028.8,9.8,10.4,25.1,48,25,0,0,0,0.37719298245614
"43",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,43,43,2013,39.9,37.6,1026.2,6.8,5.3,999.9,46,28,0,0,1,0.385964912280702
"47",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,47,2013,43.5,30.4,1024,9.9,14.7,32.1,48,36,0,0,0,0.513157894736842
"55",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,55,2013,38,31.4,1030.6,10,5.4,999.9,44.1,32,0,0,0,0.596491228070175
"59",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59,59,2013,42.7,41.5,1022.6,7.1,7.9,20,46.4,39.2,0.17,0,0,0.328947368421053
"63",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,63,63,2013,45.4,44.9,1020.7,4.3,5.8,999.9,46.9,44.1,0.01,0,1,0.31140350877193
"67",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67,67,2013,47.2,47.1,1017.5,1.3,8.2,21,51.8,44.6,0,0,1,0.399122807017544
"71",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,71,71,2013,42.3,38.3,1023.1,9.5,8,999.9,48.9,39,0.24,0,0,0.5
"76",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,76,76,2013,41.6,40,1018.3,7,8.8,27,45,39.2,0.35,0,0,0.451754385964912
"81",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,81,81,2013,39.4,34.6,1014.2,8.6,8.6,20,41,37,0.47,0,1,0.473684210526316
"88",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88,88,2013,28.1,16.6,1023.2,7.5,15,32.1,39.9,15.1,0.01,0,1,0.605263157894737
"91",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91,91,2013,35.9,26.6,1026.4,9.2,15.3,32.1,46.9,16,0,0,0,0.442982456140351
"98",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,98,98,2013,46.3,41.2,1010,7,14.9,26,50,43,0,0,0,0.337719298245614
"102",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,102,102,2013,31.2,16,1015.5,9.2,10.1,26,45,27,0,0,0,0.241228070175439
"106",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,106,106,2013,26.3,18.1,1011.1,6.5,10.8,26,32,19.9,0.14,0,1,0.434210526315789
"111",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,111,111,2013,16.2,-1.1,1018.6,10,15.6,28.9,21.9,12.9,0.01,0,0,0.451754385964912
"120",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,120,120,2013,14.3,-1.9,1018.7,10,15.5,29.9,19.9,10,0,0,0,0.517543859649123
"121",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,121,121,2013,19,3.3,1023.1,10,13.6,32.1,26.1,14,0,0,0,0.517543859649123
"128",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,128,128,2013,24.4,16.6,1016.4,8.6,10.5,19,28,21.9,0,0,0,0.535087719298246
"134",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,134,134,2013,21.7,4.7,1025.6,10,16.3,35,28.9,17.1,0,0,0,0.416666666666667
"136",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,136,136,2013,27.3,10.8,1028.9,8.8,7.4,20,32,21.9,0,0,0,0.421052631578947
