"","Bronx County","Kings County","New York County","Queens County","Richmond County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"2",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2013,38,25.6,1008.8,10,15,28,41,33.1,0,0,0,0.333333333333333
"6",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,6,2013,27.5,12.1,1013.4,10,12.4,25.1,33.1,21.9,0,0,0,0.434210526315789
"13",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,13,2013,21.8,7.8,1018.1,10,9.8,24.1,28.9,16,0,0,0,0.478070175438596
"17",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,17,2013,32.2,21.1,1015.2,10,11.3,29.9,41,24.1,0,0,0,0.460526315789474
"22",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,22,2013,37.3,24.5,1017.3,10,13.2,28,42.1,30.9,0,0,0,0.407894736842105
"26",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,26,2013,35.7,31.3,1019.7,9.8,5.9,20,44.1,23,0.01,0,0,0.425438596491228
"31",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,31,2013,35.9,31,1020.5,8.8,8.5,22,42.1,28,0.01,0,0,0.447368421052632
"38",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,38,38,2013,39.8,34.1,1028.8,9.8,10.4,25.1,48,25,0,0,0,0.456140350877193
"42",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,42,42,2013,39.9,37.6,1026.2,6.8,5.3,999.9,46,28,0,0,1,0.552631578947368
"50",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,50,2013,43.5,30.4,1024,9.9,14.7,32.1,48,36,0,0,0,0.464912280701754
"51",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,51,2013,38,31.4,1030.6,10,5.4,999.9,44.1,32,0,0,0,0.574561403508772
"56",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56,56,2013,42.7,41.5,1022.6,7.1,7.9,20,46.4,39.2,0.17,0,0,0.5
"65",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,65,2013,45.4,44.9,1020.7,4.3,5.8,999.9,46.9,44.1,0.01,0,1,0.320175438596491
"66",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,66,2013,47.2,47.1,1017.5,1.3,8.2,21,51.8,44.6,0,0,1,0.473684210526316
"73",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,73,73,2013,42.3,38.3,1023.1,9.5,8,999.9,48.9,39,0.24,0,0,0.491228070175439
"78",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,78,78,2013,41.6,40,1018.3,7,8.8,27,45,39.2,0.35,0,0,0.697368421052632
"82",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,82,82,2013,39.4,34.6,1014.2,8.6,8.6,20,41,37,0.47,0,1,0.473684210526316
"86",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86,86,2013,28.1,16.6,1023.2,7.5,15,32.1,39.9,15.1,0.01,0,1,0.491228070175439
"95",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95,95,2013,35.9,26.6,1026.4,9.2,15.3,32.1,46.9,16,0,0,0,0.473684210526316
"96",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96,96,2013,46.3,41.2,1010,7,14.9,26,50,43,0,0,0,0.429824561403509
"103",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,103,103,2013,31.2,16,1015.5,9.2,10.1,26,45,27,0,0,0,0.337719298245614
"109",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,109,109,2013,26.3,18.1,1011.1,6.5,10.8,26,32,19.9,0.14,0,1,0.5
"112",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,112,112,2013,16.2,-1.1,1018.6,10,15.6,28.9,21.9,12.9,0.01,0,0,0.526315789473684
"118",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,118,118,2013,14.3,-1.9,1018.7,10,15.5,29.9,19.9,10,0,0,0,0.56140350877193
"122",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,122,122,2013,19,3.3,1023.1,10,13.6,32.1,26.1,14,0,0,0,0.75
"130",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,130,130,2013,24.4,16.6,1016.4,8.6,10.5,19,28,21.9,0,0,0,0.552631578947368
"131",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,131,131,2013,21.7,4.7,1025.6,10,16.3,35,28.9,17.1,0,0,0,0.394736842105263
"139",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,139,139,2013,27.3,10.8,1028.9,8.8,7.4,20,32,21.9,0,0,0,0.473684210526316
"148",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,148,148,2013,45.1,44,1013.9,4.4,12.4,25.1,48.2,37,0.03,0,1,0.517543859649123
"154",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,154,154,2013,46.5,40.3,995.5,5.9,23.1,39,54,39,0.02,0,1,0.574561403508772
