"","Richmond County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"3",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2013,38,25.6,1008.8,10,15,28,41,33.1,0,0,0,0.0570175438596491
"8",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,8,2013,27.5,12.1,1013.4,10,12.4,25.1,33.1,21.9,0,0,0,0.0657894736842105
"14",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,14,2013,21.8,7.8,1018.1,10,9.8,24.1,28.9,16,0,0,0,0.0921052631578947
"19",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,19,2013,32.2,21.1,1015.2,10,11.3,29.9,41,24.1,0,0,0,0.0833333333333333
"25",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,25,2013,37.3,24.5,1017.3,10,13.2,28,42.1,30.9,0,0,0,0.0657894736842105
"29",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,29,2013,35.7,31.3,1019.7,9.8,5.9,20,44.1,23,0.01,0,0,0.0833333333333333
"35",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,35,2013,35.9,31,1020.5,8.8,8.5,22,42.1,28,0.01,0,0,0.109649122807018
"37",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,37,37,2013,39.8,34.1,1028.8,9.8,10.4,25.1,48,25,0,0,0,0.0921052631578947
"44",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,44,44,2013,39.9,37.6,1026.2,6.8,5.3,999.9,46,28,0,0,1,0.109649122807018
"48",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,48,2013,43.5,30.4,1024,9.9,14.7,32.1,48,36,0,0,0,0.114035087719298
"52",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,52,52,2013,38,31.4,1030.6,10,5.4,999.9,44.1,32,0,0,0,0.100877192982456
"58",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,58,2013,42.7,41.5,1022.6,7.1,7.9,20,46.4,39.2,0.17,0,0,0.0614035087719298
"61",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,61,61,2013,45.4,44.9,1020.7,4.3,5.8,999.9,46.9,44.1,0.01,0,1,0.0833333333333333
"69",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,69,69,2013,47.2,47.1,1017.5,1.3,8.2,21,51.8,44.6,0,0,1,0.109649122807018
"72",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,72,72,2013,42.3,38.3,1023.1,9.5,8,999.9,48.9,39,0.24,0,0,0.087719298245614
"77",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,77,77,2013,41.6,40,1018.3,7,8.8,27,45,39.2,0.35,0,0,0.0745614035087719
"85",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,85,85,2013,39.4,34.6,1014.2,8.6,8.6,20,41,37,0.47,0,1,0.0964912280701754
"89",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,89,2013,28.1,16.6,1023.2,7.5,15,32.1,39.9,15.1,0.01,0,1,0.118421052631579
"93",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,93,93,2013,35.9,26.6,1026.4,9.2,15.3,32.1,46.9,16,0,0,0,0.0701754385964912
"100",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,100,2013,46.3,41.2,1010,7,14.9,26,50,43,0,0,0,0.0526315789473684
"101",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,101,101,2013,31.2,16,1015.5,9.2,10.1,26,45,27,0,0,0,0.0789473684210526
"110",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,110,110,2013,26.3,18.1,1011.1,6.5,10.8,26,32,19.9,0.14,0,1,0.140350877192982
"114",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,114,114,2013,16.2,-1.1,1018.6,10,15.6,28.9,21.9,12.9,0.01,0,0,0.0614035087719298
"116",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,116,116,2013,14.3,-1.9,1018.7,10,15.5,29.9,19.9,10,0,0,0,0.118421052631579
"125",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125,125,2013,19,3.3,1023.1,10,13.6,32.1,26.1,14,0,0,0,0.175438596491228
"127",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,127,127,2013,24.4,16.6,1016.4,8.6,10.5,19,28,21.9,0,0,0,0.100877192982456
"132",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,132,132,2013,21.7,4.7,1025.6,10,16.3,35,28.9,17.1,0,0,0,0.0482456140350877
"140",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,140,140,2013,27.3,10.8,1028.9,8.8,7.4,20,32,21.9,0,0,0,0.109649122807018
"142",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,142,142,2013,35.4,34.9,1019,2.6,4.9,999.9,37.4,33.1,0.08,0,1,0.0833333333333333
"150",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,150,150,2013,45.1,44,1013.9,4.4,12.4,25.1,48.2,37,0.03,0,1,0.100877192982456
"151",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,151,151,2013,46.5,40.3,995.5,5.9,23.1,39,54,39,0.02,0,1,0.087719298245614
"159",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,159,159,2013,33.1,15.5,1007,10,18.2,38.1,39.9,30,0.23,0,0,0.0921052631578947
"163",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,163,163,2013,27.6,10.4,1020.9,10,12.5,26,35.1,21.9,0,0,0,0.0614035087719298
"170",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,170,170,2013,30.7,24.5,1012,8.2,9.8,22.9,36,25,0.01,0,0,0.0701754385964912
"174",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,174,174,2013,29,16.9,1008.3,8.8,15.5,28,30.9,26.6,0,0,0,0.12719298245614
"180",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,180,180,2013,28.7,16.6,1014.6,7.8,8.2,18.1,32,27,0,0,0,0.118421052631579
"184",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,184,184,2013,34.8,30.4,1014.9,9,6.1,17.1,39.2,32,0.02,0,0,0.162280701754386
"189",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,189,189,2013,29.4,13.4,1028.7,10,10.2,19,35.1,25,0,0,0,0.0482456140350877
"195",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,195,195,2013,34.3,28.5,1026,7.3,16.3,51.1,37.9,26.1,0,0,0,0.105263157894737
"200",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,200,200,2013,29.2,25.8,997.4,1.2,35.3,63.9,37.4,23,1.64,0,1,0.0921052631578947
