"","day_index","day","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"44",1,2,2013,1,35.4,2.6,4.9,0.365234375
"47",2,7,2013,1,45.4,4.3,5.8,0.03515625
"50",3,3,2013,1,39.9,6.8,5.3,0.2578125
"54",4,5,2013,1,38,10,5.4,0.595703125
"68",5,6,2013,1,42.7,7.1,7.9,0.234375
"81",6,4,2013,1,39.4,8.6,8.6,0.265625
"85",7,1,2013,1,27.3,8.8,7.4,0.296875
"92",8,2,2013,1,42.3,9.5,8,0.314453125
"95",9,7,2013,1,35.7,9.8,5.9,0.07421875
"102",10,3,2013,1,27.5,10,12.4,0.244140625
"105",11,6,2013,1,24.4,8.6,10.5,0.396484375
"107",12,1,2013,1,47.2,1.3,8.2,0.365234375
"115",13,2,2013,1,39.8,9.8,10.4,0.30859375
"127",14,1,2013,1,35.9,8.8,8.5,0.32421875
"136",15,4,2013,1,21.8,10,9.8,0.37890625
"165",16,3,2013,1,45.1,4.4,12.4,0.27734375
"169",17,1,2013,1,31.2,9.2,10.1,0
"174",18,6,2013,1,37.3,10,13.2,0.06640625
"177",19,2,2013,1,26.3,6.5,10.8,0.369140625
"178",20,7,2013,1,46.3,7,14.9,0.07421875
"184",21,3,2013,1,16.2,10,15.6,0.37109375
"186",22,4,2013,1,43.5,9.9,14.7,0.390625
"188",23,2,2013,1,38,10,15,0.05078125
"190",24,5,2013,1,19,10,13.6,0.623046875
"199",25,3,2013,1,41.6,7,8.8,0.435546875
"203",26,5,2013,1,32.2,10,11.3,0.29296875
"210",27,4,2013,1,14.3,10,15.5,0.388671875
"214",28,7,2013,1,21.7,10,16.3,0.14453125
"217",29,5,2013,1,28.1,7.5,15,0.40234375
"221",30,6,2013,1,35.9,9.2,15.3,0.251953125
"248",31,4,2013,1,46.5,5.9,23.1,0.462890625
"327",32,2,2013,2,35,10,5,0.35546875
"329",33,5,2013,2,38.6,9.8,6,0.486328125
"336",34,3,2013,2,34.8,9,6.1,0.412109375
"341",35,4,2013,2,41.4,7.2,7.8,0.31640625
"347",36,2,2013,2,28.7,7.8,8.2,0.412109375
"354",37,4,2013,2,29.4,10,10.2,0.333984375
"359",38,6,2013,2,36.3,9.7,7,0.32421875
"361",39,3,2013,2,36.1,10,7.7,0.419921875
"374",40,4,2013,2,36.6,8.4,8.9,0.5390625
"384",41,2,2013,2,36.7,10,10.6,0.23828125
"393",42,1,2013,2,37.5,8.3,13.4,0.263671875
"399",43,7,2013,2,30.7,8.2,9.8,0.17578125
"404",44,6,2013,2,39.2,9.2,8.6,0.18359375
"413",45,2,2013,2,41.4,6.5,11.9,0.279296875
"431",46,6,2013,2,27.6,10,12.5,0.349609375
"444",47,1,2013,2,29,8.8,15.5,0.38671875
"451",48,1,2013,2,36.4,7.6,9.8,0.234375
"455",49,4,2013,2,30.6,10,17.3,0.279296875
"463",50,5,2013,2,35.4,9.8,14.2,0.34375
"485",51,7,2013,2,42.6,4.3,17.1,0.138671875
"495",52,7,2013,2,24.7,8.9,16.4,0.087890625
"507",53,3,2013,2,38.7,8.5,16.9,0.302734375
"508",54,5,2013,2,33.1,10,18.2,0.427734375
"509",55,1,2013,2,24.6,9.3,22,0.083984375
"519",56,3,2013,2,44.1,5.9,18,0.380859375
"526",57,7,2013,2,30.9,4.2,23.6,0.1796875
"529",58,5,2013,2,34.3,7.3,16.3,0.6796875
"533",59,6,2013,2,29.2,1.2,35.3,0.09375
