"","day","day_index","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"44",4,1,2013,1,35.4,2.6,4.9,0.365234375
"47",2,2,2013,1,45.4,4.3,5.8,0.03515625
"50",5,3,2013,1,39.9,6.8,5.3,0.2578125
"54",7,4,2013,1,38,10,5.4,0.595703125
"68",1,5,2013,1,42.7,7.1,7.9,0.234375
"81",6,6,2013,1,39.4,8.6,8.6,0.265625
"85",3,7,2013,1,27.3,8.8,7.4,0.296875
"92",4,8,2013,1,42.3,9.5,8,0.314453125
"95",2,9,2013,1,35.7,9.8,5.9,0.07421875
"102",5,10,2013,1,27.5,10,12.4,0.244140625
"105",1,11,2013,1,24.4,8.6,10.5,0.396484375
"107",3,12,2013,1,47.2,1.3,8.2,0.365234375
"115",4,13,2013,1,39.8,9.8,10.4,0.30859375
"127",3,14,2013,1,35.9,8.8,8.5,0.32421875
"136",6,15,2013,1,21.8,10,9.8,0.37890625
"165",5,16,2013,1,45.1,4.4,12.4,0.27734375
"169",3,17,2013,1,31.2,9.2,10.1,0
"174",1,18,2013,1,37.3,10,13.2,0.06640625
"177",4,19,2013,1,26.3,6.5,10.8,0.369140625
"178",2,20,2013,1,46.3,7,14.9,0.07421875
"184",5,21,2013,1,16.2,10,15.6,0.37109375
"186",6,22,2013,1,43.5,9.9,14.7,0.390625
"188",4,23,2013,1,38,10,15,0.05078125
"190",7,24,2013,1,19,10,13.6,0.623046875
"199",5,25,2013,1,41.6,7,8.8,0.435546875
"203",7,26,2013,1,32.2,10,11.3,0.29296875
"210",6,27,2013,1,14.3,10,15.5,0.388671875
"214",2,28,2013,1,21.7,10,16.3,0.14453125
"217",7,29,2013,1,28.1,7.5,15,0.40234375
"221",1,30,2013,1,35.9,9.2,15.3,0.251953125
"248",6,31,2013,1,46.5,5.9,23.1,0.462890625
"327",4,32,2013,2,35,10,5,0.35546875
"329",7,33,2013,2,38.6,9.8,6,0.486328125
"336",5,34,2013,2,34.8,9,6.1,0.412109375
"341",6,35,2013,2,41.4,7.2,7.8,0.31640625
"347",4,36,2013,2,28.7,7.8,8.2,0.412109375
"354",6,37,2013,2,29.4,10,10.2,0.333984375
"359",1,38,2013,2,36.3,9.7,7,0.32421875
"361",5,39,2013,2,36.1,10,7.7,0.419921875
"374",6,40,2013,2,36.6,8.4,8.9,0.5390625
"384",4,41,2013,2,36.7,10,10.6,0.23828125
"393",3,42,2013,2,37.5,8.3,13.4,0.263671875
"399",2,43,2013,2,30.7,8.2,9.8,0.17578125
"404",1,44,2013,2,39.2,9.2,8.6,0.18359375
"413",4,45,2013,2,41.4,6.5,11.9,0.279296875
"431",1,46,2013,2,27.6,10,12.5,0.349609375
"444",3,47,2013,2,29,8.8,15.5,0.38671875
"451",3,48,2013,2,36.4,7.6,9.8,0.234375
"455",6,49,2013,2,30.6,10,17.3,0.279296875
"463",7,50,2013,2,35.4,9.8,14.2,0.34375
"485",2,51,2013,2,42.6,4.3,17.1,0.138671875
"495",2,52,2013,2,24.7,8.9,16.4,0.087890625
"507",5,53,2013,2,38.7,8.5,16.9,0.302734375
"508",7,54,2013,2,33.1,10,18.2,0.427734375
"509",3,55,2013,2,24.6,9.3,22,0.083984375
"519",5,56,2013,2,44.1,5.9,18,0.380859375
"526",2,57,2013,2,30.9,4.2,23.6,0.1796875
"529",7,58,2013,2,34.3,7.3,16.3,0.6796875
"533",1,59,2013,2,29.2,1.2,35.3,0.09375
"571",3,60,2013,3,39.9,10,6.5,0.326171875
"573",2,61,2013,3,37.4,10,7.1,0.287109375
"583",1,62,2013,3,44.5,10,7,0.30859375
"585",2,63,2013,3,43,10,7.1,0.138671875
"590",7,64,2013,3,45.2,10,8.9,0.322265625
"593",1,65,2013,3,38.2,10,9.4,0.232421875
"596",2,66,2013,3,34.8,9.9,7.5,0.138671875
"601",2,67,2013,3,39.1,10,10.4,0.1875
"610",3,68,2013,3,32.1,10,9,0.5234375
"628",5,69,2013,3,41.7,10,9.4,0.16796875
"642",3,70,2013,3,37,10,11.5,0.47265625
"645",4,71,2013,3,46,7.5,13.1,0.375
"648",6,72,2013,3,37,9.7,10.4,0.39453125
