"","day_index","day","year","mo","temp","prcp","NUM_COLLISIONS"
"44",1,2,2013,1,35.4,0.08,0.365234375
"47",2,7,2013,1,45.4,0.01,0.03515625
"50",3,3,2013,1,39.9,0,0.2578125
"54",4,5,2013,1,38,0,0.595703125
"68",5,6,2013,1,42.7,0.17,0.234375
"81",6,4,2013,1,39.4,0.47,0.265625
"85",7,1,2013,1,27.3,0,0.296875
"92",8,2,2013,1,42.3,0.24,0.314453125
"95",9,7,2013,1,35.7,0.01,0.07421875
"102",10,3,2013,1,27.5,0,0.244140625
"105",11,6,2013,1,24.4,0,0.396484375
"107",12,1,2013,1,47.2,0,0.365234375
"115",13,2,2013,1,39.8,0,0.30859375
"127",14,1,2013,1,35.9,0.01,0.32421875
"136",15,4,2013,1,21.8,0,0.37890625
"165",16,3,2013,1,45.1,0.03,0.27734375
"169",17,1,2013,1,31.2,0,0
"174",18,6,2013,1,37.3,0,0.06640625
"177",19,2,2013,1,26.3,0.14,0.369140625
"178",20,7,2013,1,46.3,0,0.07421875
"184",21,3,2013,1,16.2,0.01,0.37109375
"186",22,4,2013,1,43.5,0,0.390625
"188",23,2,2013,1,38,0,0.05078125
"190",24,5,2013,1,19,0,0.623046875
"199",25,3,2013,1,41.6,0.35,0.435546875
"203",26,5,2013,1,32.2,0,0.29296875
"210",27,4,2013,1,14.3,0,0.388671875
"214",28,7,2013,1,21.7,0,0.14453125
"217",29,5,2013,1,28.1,0.01,0.40234375
"221",30,6,2013,1,35.9,0,0.251953125
"248",31,4,2013,1,46.5,0.02,0.462890625
"327",32,2,2013,2,35,0.02,0.35546875
"329",33,5,2013,2,38.6,0,0.486328125
"336",34,3,2013,2,34.8,0.02,0.412109375
"341",35,4,2013,2,41.4,0.32,0.31640625
"347",36,2,2013,2,28.7,0,0.412109375
"354",37,4,2013,2,29.4,0,0.333984375
"359",38,6,2013,2,36.3,0,0.32421875
"361",39,3,2013,2,36.1,0,0.419921875
"374",40,4,2013,2,36.6,0.11,0.5390625
"384",41,2,2013,2,36.7,0,0.23828125
"393",42,1,2013,2,37.5,0.75,0.263671875
"399",43,7,2013,2,30.7,0.01,0.17578125
"404",44,6,2013,2,39.2,0,0.18359375
"413",45,2,2013,2,41.4,0.36,0.279296875
"431",46,6,2013,2,27.6,0,0.349609375
"444",47,1,2013,2,29,0,0.38671875
"451",48,1,2013,2,36.4,0,0.234375
"455",49,4,2013,2,30.6,0.03,0.279296875
"463",50,5,2013,2,35.4,0,0.34375
"485",51,7,2013,2,42.6,1.07,0.138671875
"495",52,7,2013,2,24.7,0.06,0.087890625
"507",53,3,2013,2,38.7,0.65,0.302734375
"508",54,5,2013,2,33.1,0.23,0.427734375
"509",55,1,2013,2,24.6,0,0.083984375
"519",56,3,2013,2,44.1,0.24,0.380859375
"526",57,7,2013,2,30.9,0.01,0.1796875
"529",58,5,2013,2,34.3,0,0.6796875
"533",59,6,2013,2,29.2,1.64,0.09375
"571",60,1,2013,3,39.9,0,0.326171875
"573",61,7,2013,3,37.4,0,0.287109375
"583",62,6,2013,3,44.5,0.02,0.30859375
"585",63,7,2013,3,43,0,0.138671875
"590",64,5,2013,3,45.2,0.02,0.322265625
"593",65,6,2013,3,38.2,0,0.232421875
"596",66,7,2013,3,34.8,0,0.138671875
"601",67,7,2013,3,39.1,0,0.1875
"610",68,1,2013,3,32.1,0,0.5234375
"628",69,3,2013,3,41.7,0.01,0.16796875
"642",70,1,2013,3,37,0,0.47265625
"645",71,2,2013,3,46,0,0.375
"648",72,4,2013,3,37,0.49,0.39453125
"674",73,5,2013,3,34.3,0.23,0.486328125
"676",74,7,2013,3,39,0,0.1171875
"680",75,6,2013,3,37.1,0,0.32421875
"682",76,3,2013,3,46.3,0.54,0.548828125
"689",77,5,2013,3,39.3,0.08,0.484375
"701",78,1,2013,3,38.1,0,0.279296875
"703",79,2,2013,3,38.5,0,0.3359375
"706",80,4,2013,3,42.5,0.02,0.37890625
"711",81,4,2013,3,38.3,0,0.298828125
"725",82,6,2013,3,38.5,0.02,0.259765625
"728",83,2,2013,3,39.6,0.41,0.3984375
"735",84,2,2013,3,39.8,0.05,0.13671875
"739",85,5,2013,3,31.2,0,0.4921875
"752",86,3,2013,3,36.5,0.35,0.361328125
"761",87,3,2013,3,39.1,0.02,0.234375
"774",88,6,2013,3,39.2,0.4,0.41796875
"783",89,5,2013,3,37.4,1.58,0.96875
"786",90,4,2013,3,38.3,0.8,0.3515625
"842",91,6,2013,4,46.6,0,0.31640625
"843",92,7,2013,4,48,0,0.166015625
"847",93,1,2013,4,49.7,0,0.474609375
"856",94,1,2013,4,46.1,0,0.484375
"859",95,2,2013,4,51,0,0.431640625
"866",96,5,2013,4,49.5,0.06,0.625
"873",97,1,2013,4,50,0,0.443359375
"879",98,7,2013,4,46.1,0.09,0.228515625
"905",99,4,2013,4,50.8,0.01,0.4453125
"911",100,7,2013,4,45.1,0.24,0.2265625
"912",101,3,2013,4,46.5,0.12,0.439453125
"913",102,2,2013,4,46,0,0.408203125
"926",103,3,2013,4,52.1,0.03,0.3515625
"932",104,5,2013,4,42.9,0.01,0.443359375
"937",105,7,2013,4,39.7,0,0.1875
"940",106,4,2013,4,46.5,0,0.38671875
"964",107,4,2013,4,46.2,0.06,0.31640625
"972",108,5,2013,4,52.6,0,0.419921875
"976",109,4,2013,4,39,0,0.412109375
"977",110,2,2013,4,49.4,0,0.50390625
"980",111,1,2013,4,43,0,0.41015625
"988",112,6,2013,4,40.2,0.33,0.34375
"1009",113,2,2013,4,44.6,0.11,0.30859375
"1023",114,2,2013,4,39.6,0.02,0.16015625
"1027",115,6,2013,4,44.4,1.44,0.390625
