"","day_index","day","year","mo","county","temp","visib","wdsp","NUM_COLLISIONS"
"375",5,2,2013,1,"Bronx County",38,10,15,0.12719298245614
"382",7,3,2013,1,"Bronx County",27.5,10,12.4,0.232456140350877
"395",15,4,2013,1,"Bronx County",21.8,10,9.8,0.258771929824561
"401",16,5,2013,1,"Bronx County",32.2,10,11.3,0.241228070175439
"411",21,6,2013,1,"Bronx County",37.3,10,13.2,0.171052631578947
"425",30,7,2013,1,"Bronx County",35.7,9.8,5.9,0.153508771929825
"432",32,1,2013,1,"Bronx County",35.9,8.8,8.5,0.223684210526316
"441",36,2,2013,1,"Bronx County",39.8,9.8,10.4,0.219298245614035
"451",41,3,2013,1,"Bronx County",39.9,6.8,5.3,0.201754385964912
"464",49,4,2013,1,"Bronx County",43.5,9.9,14.7,0.219298245614035
"473",53,5,2013,1,"Bronx County",38,10,5.4,0.245614035087719
"482",57,6,2013,1,"Bronx County",42.7,7.1,7.9,0.18859649122807
"494",64,7,2013,1,"Bronx County",45.4,4.3,5.8,0.118421052631579
"505",70,1,2013,1,"Bronx County",47.2,1.3,8.2,0.25
"514",74,2,2013,1,"Bronx County",42.3,9.5,8,0.206140350877193
"525",80,3,2013,1,"Bronx County",41.6,7,8.8,0.206140350877193
"533",83,4,2013,1,"Bronx County",39.4,8.6,8.6,0.18859649122807
"545",90,5,2013,1,"Bronx County",28.1,7.5,15,0.197368421052632
"554",94,6,2013,1,"Bronx County",35.9,9.2,15.3,0.175438596491228
"564",99,7,2013,1,"Bronx County",46.3,7,14.9,0.12280701754386
"575",105,1,2013,1,"Bronx County",31.2,9.2,10.1,0.0833333333333333
"582",107,2,2013,1,"Bronx County",26.3,6.5,10.8,0.201754385964912
"595",115,3,2013,1,"Bronx County",16.2,10,15.6,0.179824561403509
"604",119,4,2013,1,"Bronx County",14.3,10,15.5,0.206140350877193
"614",124,5,2013,1,"Bronx County",19,10,13.6,0.31140350877193
"621",126,6,2013,1,"Bronx County",24.4,8.6,10.5,0.241228070175439
"633",133,7,2013,1,"Bronx County",21.7,10,16.3,0.171052631578947
"643",138,1,2013,1,"Bronx County",27.3,8.8,7.4,0.18859649122807
"646",141,2,2013,1,"Bronx County",35.4,2.6,4.9,0.192982456140351
"652",147,3,2013,1,"Bronx County",45.1,4.4,12.4,0.157894736842105
"660",155,4,2013,1,"Bronx County",46.5,5.9,23.1,0.192982456140351
"1850",160,5,2013,2,"Bronx County",33.1,10,18.2,0.210526315789474
"1856",161,6,2013,2,"Bronx County",27.6,10,12.5,0.302631578947368
"1869",169,7,2013,2,"Bronx County",30.7,8.2,9.8,0.214912280701754
"1878",173,1,2013,2,"Bronx County",29,8.8,15.5,0.276315789473684
"1888",178,2,2013,2,"Bronx County",28.7,7.8,8.2,0.236842105263158
"1898",183,3,2013,2,"Bronx County",34.8,9,6.1,0.219298245614035
"1907",187,4,2013,2,"Bronx County",29.4,10,10.2,0.223684210526316
"1918",193,5,2013,2,"Bronx County",34.3,7.3,16.3,0.486842105263158
"1929",199,6,2013,2,"Bronx County",29.2,1.2,35.3,0.184210526315789
"1936",201,7,2013,2,"Bronx County",24.7,8.9,16.4,0.118421052631579
"1948",208,1,2013,2,"Bronx County",36.4,7.6,9.8,0.175438596491228
"1958",213,2,2013,2,"Bronx County",41.4,6.5,11.9,0.254385964912281
"1966",216,3,2013,2,"Bronx County",36.1,10,7.7,0.236842105263158
"1978",223,4,2013,2,"Bronx County",36.6,8.4,8.9,0.241228070175439
"1989",229,5,2013,2,"Bronx County",38.6,9.8,6,0.293859649122807
"1999",234,6,2013,2,"Bronx County",39.2,9.2,8.6,0.223684210526316
"2009",239,7,2013,2,"Bronx County",30.9,4.2,23.6,0.166666666666667
"2016",241,1,2013,2,"Bronx County",24.6,9.3,22,0.131578947368421
"2030",250,2,2013,2,"Bronx County",36.7,10,10.6,0.219298245614035
"2040",255,3,2013,2,"Bronx County",38.7,8.5,16.9,0.219298245614035
"2050",260,4,2013,2,"Bronx County",30.6,10,17.3,0.179824561403509
"2060",265,5,2013,2,"Bronx County",35.4,9.8,14.2,0.267543859649123
"2070",270,6,2013,2,"Bronx County",36.3,9.7,7,0.192982456140351
"2080",275,7,2013,2,"Bronx County",42.6,4.3,17.1,0.162280701754386
"2087",277,1,2013,2,"Bronx County",37.5,8.3,13.4,0.276315789473684
"2096",281,2,2013,2,"Bronx County",35,10,5,0.184210526315789
"2105",290,3,2013,2,"Bronx County",44.1,5.9,18,0.214912280701754
"2109",294,4,2013,2,"Bronx County",41.4,7.2,7.8,0.245614035087719
"3455",300,5,2013,3,"Bronx County",39.3,9.4,10.6,0.276315789473684
"3462",302,6,2013,3,"Bronx County",38.2,10,9.4,0.166666666666667
"3472",307,7,2013,3,"Bronx County",37.4,10,7.1,0.171052631578947
"3485",315,1,2013,3,"Bronx County",37,10,11.5,0.210526315789474
"3494",319,2,2013,3,"Bronx County",38.5,9.9,14.9,0.184210526315789
"3503",323,3,2013,3,"Bronx County",39.1,9.4,13.5,0.206140350877193
"3513",328,4,2013,3,"Bronx County",38.3,4.1,31.6,0.289473684210526
"3525",335,5,2013,3,"Bronx County",37.4,3.3,28.4,0.535087719298246
"3531",336,6,2013,3,"Bronx County",39.2,9.9,24.9,0.263157894736842
"3541",341,7,2013,3,"Bronx County",39,10,11.9,0.157894736842105
"3554",349,1,2013,3,"Bronx County",39.9,10,6.5,0.245614035087719
"3564",354,2,2013,3,"Bronx County",46,7.5,13.1,0.210526315789474
"3571",356,3,2013,3,"Bronx County",46.3,7.1,13.1,0.271929824561404
"3585",365,4,2013,3,"Bronx County",37,9.7,10.4,0.293859649122807
"3594",4,5,2013,3,"Bronx County",31.2,10,18.5,0.324561403508772
"3603",8,6,2013,3,"Bronx County",37.1,10,10.2,0.25
"3612",12,7,2013,3,"Bronx County",34.8,9.9,7.5,0.166666666666667
"3621",16,1,2013,3,"Bronx County",32.1,10,9,0.337719298245614
"3634",24,2,2013,3,"Bronx County",39.6,4.6,16.5,0.271929824561404
"3641",26,3,2013,3,"Bronx County",36.5,10,17.9,0.232456140350877
"3654",34,4,2013,3,"Bronx County",38.3,9.8,10.9,0.206140350877193
"3661",36,5,2013,3,"Bronx County",34.3,6.8,13.6,0.219298245614035
"3671",41,6,2013,3,"Bronx County",38.5,10,15.9,0.214912280701754
"3685",50,7,2013,3,"Bronx County",39.1,10,10.4,0.175438596491228
"3692",52,1,2013,3,"Bronx County",38.1,10,9.7,0.153508771929825
"3703",58,2,2013,3,"Bronx County",39.8,9.7,15.5,0.118421052631579
"3715",65,3,2013,3,"Bronx County",41.7,10,9.4,0.206140350877193
"3725",70,4,2013,3,"Bronx County",42.5,9.9,12.5,0.197368421052632
"3733",73,5,2013,3,"Bronx County",45.2,10,8.9,0.236842105263158
"3737",77,6,2013,3,"Bronx County",44.5,10,7,0.271929824561404
"3742",82,7,2013,3,"Bronx County",43,10,7.1,0.157894736842105
"4957",87,1,2013,4,"Bronx County",47,6.8,16.3,0.206140350877193
"4967",92,2,2013,4,"Bronx County",39.6,9.9,17.2,0.184210526315789
"4976",96,3,2013,4,"Bronx County",42.6,10,17,0.157894736842105
"4990",105,4,2013,4,"Bronx County",39,10,14,0.245614035087719
