"","day_index","day_of_year","day","year","mo","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"568",791,61,3,2015,3,33.6,24.1,1028.8,9.9,6.7,999.9,44.1,24.1,0,0,0,0.402862985685072
"599",430,65,1,2014,3,33.5,24,1010.7,8.9,6.1,999.9,39.2,28,0,0,0,0.377232142857143
"501",2247,56,2,2019,2,29.2,6.8,1019.3,10,20.2,42,42.1,26.1,0,0,0,0.703125
"931",2293,102,2,2019,4,37.1,22.5,1029.6,10,8.7,22,46.9,23,0,0,0,0.441964285714286
"1208",2322,131,6,2019,5,56.8,49.5,1014.3,7,10,20,64.9,45,0.01,0,0,0.629464285714286
"333",1494,33,2,2017,2,37.1,26.6,1026.3,10,6.9,999.9,46,30,0,0,0,0.266429840142096
"1201",133,133,4,2013,5,60.9,56.2,1018.8,6.1,11.6,20,66.9,57.2,0.26,0,0,0.64453125
"1016",2305,114,6,2019,4,54.5,52.8,1013.8,2.9,17.7,31.1,61,48.9,0,0,1,0.225446428571429
"1784",924,194,4,2015,7,68.7,62.5,1011.7,7.1,7,999.9,77,61,0,0,0,0.535787321063395
"2345",981,251,7,2015,9,59.4,50.9,1031.1,10,7,15.9,70,48,0,0,0,0.310838445807771
