"","day_index","day_of_year","day","year","mo","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"201",2214,23,1,2019,1,27.4,11.7,1024.8,10,17.4,31.1,45,21.9,0,0,0,0.508928571428571
"2485",1362,267,7,2016,9,71.3,67.8,1015.3,6.4,11.9,24.1,78.1,64.9,0,0,1,0.341222879684418
"70",1101,6,4,2016,1,40.5,29.9,1026.9,10,6.8,999.9,46.9,24.1,0,0,0,0.349112426035503
"2914",1049,319,7,2015,11,50.1,45.5,1015,8.1,6.6,22.9,57.2,39,0,0,0,0.184049079754601
"2179",232,232,4,2013,8,67.2,52.7,1016.9,10,10.2,21,73,62.1,0,0,0,0.4765625
"1308",1606,145,1,2017,5,51.1,43.8,999.6,10,12.9,28,57,48,0.14,0,0,0.703374777975133
"440",1876,50,1,2018,2,42.5,38.1,1008.3,5.1,14.1,29.9,46.9,33.1,1.28,0,1,0.679856115107914
"1700",185,185,1,2013,7,76.3,71.2,1021.6,9.3,5.7,999.9,82.9,69.1,0,0,0,0.44140625
"2377",2083,257,6,2018,9,62.3,56.3,1020,9.8,6.6,999.9,72,53.1,0.23,0,0,0.494604316546763
"1693",1645,184,2,2017,7,69.4,67.9,1019.6,4,5.5,999.9,78.1,62.1,0,0,1,0.662522202486678
