"","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"406",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,412,47,2014,24.3,8.9,1019.8,9.3,13.1,28,32,19,0,0,0,0.328125
"908",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,918,188,2015,72.3,68.8,1004.1,6.8,4.5,999.9,82,62.1,0.01,0,1,0.552147239263804
"338",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,340,340,2013,43.1,35,1026.2,9.8,10.9,999.9,50,25,0,0,0,0.126953125
"80",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,80,2013,42.5,34.5,1011.7,9.9,12.5,25.1,50,37.9,0.02,0,0,0.37890625
"2",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2013,45.4,44.9,1020.7,4.3,5.8,999.9,46.9,44.1,0.01,0,1,0.03515625
"475",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,481,116,2014,52.6,48,1013.3,6.6,16,32.1,57.9,48.9,0,0,0,0.241071428571429
"2446",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2472,281,2019,59.4,53.9,1020.6,10,8.4,999.9,66.9,48,0,0,0,0.220982142857143
"577",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,583,218,2014,70.1,65.7,1010.1,4.4,4.3,999.9,78.1,66,0.01,0,1,0.486607142857143
"240",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,242,242,2013,70.7,68.8,1016.9,9.3,13.1,27,75,61,0.03,0,0,0.4375
"180",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,180,180,2013,66.1,64.8,1004.7,2.1,12.9,33,69.8,64,0.85,0,1,0.494140625
