"","Bronx County","Kings County","New York County","Queens County","Richmond County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"10039",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2027,201,2018,70.6,69.3,1017.8,4.8,11.5,24.1,77,66.9,0,0,1,0.414096916299559
"10911",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2171,345,2018,34.7,23,1033.8,10,8.1,22,37.9,26.1,0,0,0,0.317180616740088
"6473",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1367,272,2016,73.8,65.7,1015.8,8.3,10.1,25.1,81,66.9,0,0,0,0.308016877637131
"4551",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,907,177,2015,71.7,60.3,1012.2,10,7.5,999.9,80.1,62.1,0,0,0,0.236607142857143
"4334",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1055,325,2015,53.9,48.8,1023.2,5.7,9.4,18.1,60.1,48,0,0,1,0.223214285714286
"3081",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,530,165,2014,64.6,56.5,1025,10,10.9,22.9,73,55.9,0,0,0,0.237864077669903
"5639",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1265,170,2016,42.6,37.8,1025.6,9.5,11.9,999.9,51.1,30.9,0,0,0,0.265822784810127
"2846",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,660,295,2014,69.6,66.7,1009.5,6.4,8.5,28,75.9,64.4,0.04,0,1,0.271844660194175
"5606",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1232,137,2016,35,24.4,1016.1,10,4.3,999.9,46,23,0.09,0,0,0.312236286919831
"830",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,100,2013,65.4,64.2,1012.1,1.9,8.8,999.9,69.1,64,0.05,0,1,0.175438596491228
