"","Bronx County","Kings County","New York County","Queens County","Richmond County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"7454",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1620,159,2017,38.7,31.3,1011.6,9.7,10.5,27,45,21.9,0,0,0,0.611353711790393
"1410",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,315,315,2013,56.4,44.3,1027.9,10,11.6,26,64.9,51.1,0.03,0,0,0.592105263157895
"9997",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1985,159,2018,62.7,59.1,1021,10,9.3,999.9,71.1,50,0,0,0,0.599118942731278
"12267",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2433,242,2019,63.8,54.6,1009.9,10,9.7,17.1,73,59,0,0,0,0.686695278969957
"10048",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2036,210,2018,67.3,52.8,1023.6,9.9,12.8,28.9,75.9,60.1,0.01,0,0,0.60352422907489
"6593",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1121,26,2016,74.3,72.2,1012.8,4.5,12.3,24.1,79,71.1,0,0,1,0.818565400843882
"8296",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1737,276,2017,75.6,69.6,1010.4,5.7,7.8,999.9,84.9,69.1,0,0,1,0.882096069868996
"2709",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,523,158,2014,63.9,53.8,1018,9.8,13.6,34,75,59,0.13,0,0,0.699029126213592
"6654",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1182,87,2016,70.1,63.3,1024.3,10,8.5,999.9,77,63,0,0,0,0.721518987341772
"12364",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2530,339,2019,49.3,44.1,1018.2,10,3.9,999.9,59,39,0,0,0,0.579399141630901
