"","New York County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"6415",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1309,214,2016,65.7,64.2,1009.2,3.2,10,27,70,60.8,0.32,0,1,0.261603375527426
"700",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335,335,2013,57.5,54.5,1020.4,2.9,10.3,22,62.1,55,0.33,0,1,0.631578947368421
"3765",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,849,119,2015,38.5,34.8,1003.3,6.7,12.4,33,45,27,0.23,0,0,0.477678571428571
"3465",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,549,184,2014,52.7,37.7,1019.4,10,6.9,22,61,37.9,0,0,0,0.111650485436893
"2705",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,519,154,2014,66.7,64.4,1011.7,3.5,10.2,25.1,75.2,62.1,0.01,0,1,0.796116504854369
"10592",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1850,24,2018,48.8,41.3,1012.4,10,13.2,29.9,59,44.1,0.03,0,0,0.140969162995595
"11413",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2308,117,2019,45.3,39.4,1023.5,10,7.4,999.9,60.1,37.9,0.01,0,0,0.360515021459227
"5970",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1230,135,2016,44,32.4,1026.1,10,15.8,33,52,35.1,0,0,0,0.345991561181435
"11919",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2450,259,2019,70.9,69.4,1015,5.7,9.3,25.1,79,60.1,0,0,1,0.793991416309013
"9064",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1779,318,2017,32.7,24.3,1026.3,9.7,6.7,999.9,41,24.1,0,0,0,0.524017467248908
