"","Richmond County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"1965",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,507,142,2014,20.3,10.4,1021.2,6.3,8.1,999.9,27,17.1,0.02,0,0,0.669902912621359
"5465",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1091,361,2015,46.5,41.8,9999.9,9.5,11,999.9,48,45,0,0,0,0.491071428571429
"6614",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1142,47,2016,73.1,69,1022.3,10,7.9,999.9,84,66.9,0,0,0,0.0590717299578059
"9155",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1870,44,2018,38.3,32.3,1016.8,9.3,14.6,28,43,30.9,0.01,0,0,0.841409691629956
"1727",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,267,267,2013,28.1,11.3,1022.3,10,11.5,26,34,19.9,0,0,0,0.241228070175439
"10720",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1980,154,2018,46.7,41,1021,10,5,999.9,54,37.9,0,0,0,0.898678414096916
"4910",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,901,171,2015,68.6,65.6,1005.8,9.5,12.6,24.1,72,64,0,0,0,0.415178571428571
"10534",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2157,331,2018,53.2,44.9,1008.5,10,7.9,21,68,48.9,2.37,0,0,0.590308370044053
"574",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,209,209,2013,50.8,45.1,1017.9,7.2,10.4,20,55.9,45,0.01,0,0,0.552631578947368
"11706",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2236,45,2019,58.5,45.3,1016.7,10,12.6,24.1,66,51.1,0,0,0,0.40343347639485
