"","day_index","day","year","mo","temp","visib","NUM_COLLISIONS"
"3341",1825,4,2017,12,28.2,8.1,0.976909413854352
"2077",2048,6,2018,8,68.8,9,0.431654676258993
"495",52,7,2013,2,24.7,8.9,0.087890625
"2835",306,3,2013,11,46.5,10,0.546875
"2437",1721,5,2017,9,62.7,10,0.618117229129662
"3113",335,1,2013,12,44,7,0.37890625
"1554",1268,5,2016,6,59.2,10,0.893491124260355
"1763",1651,3,2017,7,70.8,1.8,0.61101243339254
"3272",724,3,2014,12,51.2,6.1,0.502232142857143
"3049",1063,5,2015,11,58.3,9.8,0.687116564417178
