"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","NUM_COLLISIONS"
"199",3,2013,1,16,"2013-01-16",41.6,40,1018.3,7,8.8,21,27,45,39.2,0.35,999.9,0,1,0,0,0,578
"404",6,2013,2,16,"2013-02-16",39.2,35.8,1012.3,9.2,8.6,17.1,21,44.1,34,0,999.9,1,0,0,0,0,449
"1000",6,2017,4,29,"2017-04-29",54.2,51.6,1015.5,2.7,11.6,21,28,64,48.2,0.11,999.9,1,1,0,0,0,661
"1169",4,2014,5,22,"2014-05-22",50.3,46.2,1013.1,8.6,6,13,999.9,57,46,0,999.9,1,1,0,0,0,593
"1340",3,2014,5,28,"2014-05-28",51.1,48.4,1012.8,2.6,15.2,22.9,32.1,53.1,48.2,0,999.9,1,1,0,0,0,538
"2086",3,2018,8,8,"2018-08-08",74.6,73.6,1013.9,5.9,8.1,12,999.9,82,70,0,999.9,1,0,0,0,0,656
"2554",2,2013,10,22,"2013-10-22",59.1,52.4,1012.5,10,6.1,8.9,999.9,66.9,39.9,0,999.9,0,0,0,0,0,540
"2721",7,2016,10,16,"2016-10-16",55.2,47.6,1023.1,10,9.3,19,999.9,66,39.9,0,999.9,0,0,0,0,0,503
"3236",3,2013,12,11,"2013-12-11",31.8,20.6,1020.3,9.9,12.8,18.1,29.9,42.1,28,0.19,999.9,0,0,1,0,0,605
"3272",3,2014,12,3,"2014-12-03",51.2,48.4,1022.8,6.1,14.5,20,26,55,39,0.22,999.9,0,1,0,0,0,569
