"","day_index","day","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"3269",2182,2,2018,12,40.6,10,12.1,0.640287769784173
"2835",306,3,2013,11,46.5,10,3.7,0.546875
"2893",2135,5,2018,11,38.4,10,7.5,0.746402877697842
"991",841,5,2015,4,44,10,14.6,0.685071574642127
"648",72,4,2013,3,37,9.7,10.4,0.39453125
"3231",1811,4,2017,12,32.4,10,10.7,0.726465364120782
"986",1203,2,2016,4,46.9,9.8,7.9,0.723865877712032
"754",1185,2,2016,3,48.3,3.4,17.3,0.479289940828402
"752",86,3,2013,3,36.5,10,17.9,0.361328125
"1905",2401,3,2019,7,70.9,5.7,9.3,0.613839285714286
