"","day","day_index","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"2601",5,284,2013,10,52.5,9.8,7.9,0.396484375
"2919",3,1050,2015,11,40.5,10,11.3,0.552147239263804
"2428",2,2089,2018,9,62.6,10,10,0.410071942446043
"3198",5,1076,2015,12,53.5,3.9,8.3,0.948875255623722
"273",2,1125,2016,1,51.3,4.9,16.2,0.191321499013807
"1867",2,934,2015,7,65.8,9.3,8.2,0.257668711656442
"678",7,1173,2016,3,50.8,2.7,10.8,0.357001972386588
"3069",2,1795,2017,11,54.8,7.8,16.8,0.426287744227353
"466",2,776,2015,2,36,2.6,7.7,0.3640081799591
"1911",4,1667,2017,7,62.8,9.5,13.8,0.465364120781528
