"","day_index","day","year","mo","county","temp","visib","wdsp","NUM_COLLISIONS"
"16125",970,7,2015,12,"Kings County",45.4,8.5,6.2,0.486607142857143
"14074",449,5,2014,11,"Queens County",43.7,9.7,11.1,0.742718446601942
"6860",55,5,2013,6,"Kings County",62,10,8.3,0.697368421052632
"6035",2491,1,2019,5,"Queens County",46.1,9.7,14.7,0.729613733905579
"1602",1673,7,2017,2,"Queens County",35.6,7.9,15.2,0.532751091703057
"10380",1107,2,2016,8,"Kings County",71.5,10,6.6,0.843881856540084
"5160",190,7,2013,4,"Bronx County",45.1,10,11.7,0.223684210526316
"2226",2097,6,2018,2,"Queens County",42.3,5,11.4,0.629955947136564
"7794",1590,3,2017,6,"Queens County",62.6,5.4,11.4,0.838427947598253
"5355",2026,1,2018,4,"Queens County",46.4,10,7.1,0.801762114537445
"13816",1117,1,2016,10,"Bronx County",57.5,9.9,12.5,0.409282700421941
"9062",657,4,2014,7,"Kings County",69.6,6.4,8.5,0.601941747572815
"15588",688,2,2014,12,"Queens County",47.4,6.6,11.1,0.907766990291262
"12604",2445,5,2019,9,"Queens County",63.5,8.8,7.7,0.759656652360515
"9899",339,5,2013,8,"Bronx County",69.7,9.5,8.3,0.267543859649123
"10480",1207,1,2016,8,"Kings County",72.5,9.8,9.5,0.767932489451477
"16546",351,7,2013,12,"Bronx County",43.2,6.9,7.8,0.149122807017544
"12308",588,7,2014,9,"Bronx County",66.1,8.1,8.1,0.179611650485437
"3415",795,5,2015,3,"Bronx County",42.4,5.1,13.1,0.232142857142857
"11958",2049,5,2018,9,"Kings County",60.6,10,6.9,0.744493392070485
"16138",983,3,2015,12,"Bronx County",43.7,10,8.7,0.223214285714286
"5137",177,5,2013,4,"Bronx County",52.6,4.6,12.5,0.258771929824561
"15184",2015,1,2018,11,"Kings County",45.4,7.8,8.1,0.94273127753304
"13305",300,7,2013,10,"Kings County",59.1,6.9,7.2,0.37280701754386
"7499",514,3,2014,6,"Kings County",66.8,9.9,8.3,0.752427184466019
"3851",1862,4,2018,3,"Bronx County",36.1,6.6,21.5,0.383259911894273
"13331",311,3,2013,10,"Queens County",56.4,10,11.6,0.539473684210526
"5467",2118,4,2018,5,"Queens County",56.3,9.6,9.6,0.911894273127753
"7777",1573,7,2017,6,"Queens County",63.8,0.7,10.2,0.672489082969432
"13196",751,6,2015,10,"Kings County",51.5,10,9.4,0.477678571428571
