"","day_index","day","year","mo","county","temp","visib","NUM_COLLISIONS"
"4905",930,4,2015,4,"Kings County",46.9,9.8,0.65625
"7408",468,1,2014,6,"Kings County",65.2,10,0.679611650485437
"2976",2492,6,2019,3,"Kings County",35.1,6,0.781115879828326
"5513",1342,1,2016,5,"Bronx County",51.3,4.9,0.0759493670886076
"9775",755,3,2015,8,"Queens County",71.9,7.2,0.651785714285714
"10718",438,5,2014,8,"Queens County",63.9,7.9,0.533980582524272
"12297",577,5,2014,9,"Queens County",57.2,10,0.737864077669903
"4492",2278,1,2019,4,"Bronx County",41.8,10,0.450643776824034
"651",146,3,2013,1,"Kings County",45.1,4.4,0.469298245614035
"13785",1452,1,2016,10,"Bronx County",64.5,8.4,0.312236286919831
